#GTC-Recon,,,,,,,,,,,,,,,,
Title,FirstName,LastName,FullName,UserID,JobTitle,Phone,Email ID,TimeZone,WorkGroup,AccessGroup,OrganizationalUnit,Department,Country,Locale,Status,UpdateFlag
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Add
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj1@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj1@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Add
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj2@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj2@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Delete
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj3@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj3@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj4@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj4@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj5@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj5@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj6@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj6@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj7@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj7@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj11@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj11@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj12@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj12@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
Mr,Sumit1980,Vyas,Sumit1980 Vyas,sumithra.raj13@hpe.com,Data Analyst,+44 2734252355555,sumithra.raj13@hpe.com,CET,WorkGroup1,AccessGroup1,GomaParent001,Barclays,GB,en_GB,Active,Update
